priceUsd,time,circulatingSupply,date
42091.4293269263586486,1642618800000,18934281.0000000000000000,2022-01-19T19:00:00.000Z
41959.9927059878039573,1642622400000,18934281.0000000000000000,2022-01-19T20:00:00.000Z
41674.9582419735799017,1642626000000,18934281.0000000000000000,2022-01-19T21:00:00.000Z
41805.8337874028519188,1642629600000,18934281.0000000000000000,2022-01-19T22:00:00.000Z
42062.3432219293940037,1642633200000,18934462.0000000000000000,2022-01-19T23:00:00.000Z
41782.6904423435504936,1642636800000,18934462.0000000000000000,2022-01-20T00:00:00.000Z
41890.7103775289975884,1642640400000,18934531.0000000000000000,2022-01-20T01:00:00.000Z
41843.7274201042466379,1642644000000,18934531.0000000000000000,2022-01-20T02:00:00.000Z
42091.2524457357785699,1642647600000,18934631.0000000000000000,2022-01-20T03:00:00.000Z
42027.9291729342197376,1642651200000,18934631.0000000000000000,2022-01-20T04:00:00.000Z
41994.8437688484553868,1642654800000,18934725.0000000000000000,2022-01-20T05:00:00.000Z
41971.1199321056828466,1642658400000,18934725.0000000000000000,2022-01-20T06:00:00.000Z
42107.7850636112724341,1642662000000,18934825.0000000000000000,2022-01-20T07:00:00.000Z
42104.4942522807420406,1642665600000,18934825.0000000000000000,2022-01-20T08:00:00.000Z
42039.2173079022516320,1642669200000,18934950.0000000000000000,2022-01-20T09:00:00.000Z
42129.4335705144991959,1642672800000,18934950.0000000000000000,2022-01-20T10:00:00.000Z
42165.3925272118753659,1642676400000,18935050.0000000000000000,2022-01-20T11:00:00.000Z
42218.8745373384034377,1642680000000,18935050.0000000000000000,2022-01-20T12:00:00.000Z
42101.1263684328064558,1642683600000,18935156.0000000000000000,2022-01-20T13:00:00.000Z
42432.9798397556062953,1642687200000,18935156.0000000000000000,2022-01-20T14:00:00.000Z
43023.6433017961062693,1642690800000,18935243.0000000000000000,2022-01-20T15:00:00.000Z
43343.0421840335122689,1642694400000,18935243.0000000000000000,2022-01-20T16:00:00.000Z
43354.6231009470547193,1642698000000,18935243.0000000000000000,2022-01-20T17:00:00.000Z
43114.0726265004165215,1642701600000,18935243.0000000000000000,2022-01-20T18:00:00.000Z
43118.2474237740700535,1642705200000,18935406.0000000000000000,2022-01-20T19:00:00.000Z
42984.8494294831687344,1642708800000,18935406.0000000000000000,2022-01-20T20:00:00.000Z
42741.2260893031302807,1642712400000,18935462.0000000000000000,2022-01-20T21:00:00.000Z
41573.2459405320277578,1642716000000,18935462.0000000000000000,2022-01-20T22:00:00.000Z
41267.3782893920749973,1642719600000,18935512.0000000000000000,2022-01-20T23:00:00.000Z
40766.7778876519478049,1642723200000,18935512.0000000000000000,2022-01-21T00:00:00.000Z
41002.3535098135847641,1642726800000,18935587.0000000000000000,2022-01-21T01:00:00.000Z
39901.5323472483139343,1642730400000,18935587.0000000000000000,2022-01-21T02:00:00.000Z
39942.0852302263794915,1642734000000,18935675.0000000000000000,2022-01-21T03:00:00.000Z
38572.8240595561886902,1642737600000,18935675.0000000000000000,2022-01-21T04:00:00.000Z
38909.6264505082887413,1642741200000,18935756.0000000000000000,2022-01-21T05:00:00.000Z
39016.1531761053528588,1642744800000,18935756.0000000000000000,2022-01-21T06:00:00.000Z
38829.2918035145717277,1642748400000,18935800.0000000000000000,2022-01-21T07:00:00.000Z
39176.5136198922958072,1642752000000,18935800.0000000000000000,2022-01-21T08:00:00.000Z
39250.8384065115874526,1642755600000,18935862.0000000000000000,2022-01-21T09:00:00.000Z
